ID1,ID2,ID3,ID4,V1,V2,V3,V4
79,70,58,57,0.0000,0.0000,0.0000,0.0000
79,70,58,88,0.0000,0.0000,0.0000,0.0000
79,70,68,60,0.0000,2.4500,0.0000,0.0000
79,70,68,80,0.0000,2.4500,0.0000,0.0000
80,46,22,11,1.1500,3.0445,0.0000,0.0000
80,46,22,20,0.0000,3.0445,0.0000,0.0000
81,80,46,22,0.0000,0.0000,0.0000,0.0000
81,80,46,56,0.0000,0.0000,0.0000,0.0000
81,80,68,60,0.0000,0.0000,0.0000,0.0000
81,80,68,70,0.0000,0.0000,0.0000,0.0000
84,111,75,52,0.0000,0.0000,0.0000,0.0000
84,111,75,54,0.0000,0.0000,0.0000,0.0000
84,111,75,102,0.0000,0.2730,0.0000,0.0000
85,91,47,28,0.0000,0.0000,-0.0500,0.0000
85,91,47,36,0.0000,0.0000,0.1500,0.0000
85,91,47,51,0.0000,0.0000,0.1500,0.0000
87,109,95,45,0.0000,0.0000,0.0000,0.0000
87,109,95,103,0.0000,0.0000,0.0000,0.0000
87,109,95,138,0.0000,0.0000,0.0000,0.0000
88,58,25,14,0.0000,0.0000,-0.0380,0.0000
88,58,25,21,0.0000,0.0000,-0.0380,0.0000
88,58,25,23,-2.8270,-0.4360,0.0000,0.0000
89,44,30,10,0.6500,-0.0250,0.1000,0.0000
89,44,30,32,0.0000,0.0000,0.1500,0.0000
89,44,30,40,0.0000,0.0000,0.1500,0.0000
89,127,94,65,0.0000,0.0000,0.0000,0.0000
89,127,94,120,0.9325,0.0445,0.1755,0.0000
90,89,44,30,0.0000,0.0000,0.1500,0.0000
90,89,44,34,0.0000,0.0000,0.1500,0.0000
90,89,44,43,0.0000,0.0000,0.1500,0.0000
91,47,28,19,-0.1450,1.3105,-0.8890,0.0000
91,47,28,29,0.0000,0.5830,0.0000,0.0000
91,137,115,92,0.2595,0.4385,2.6165,0.0000
91,137,115,105,0.0000,0.0000,0.0000,0.0000
92,67,53,27,-0.2980,0.1395,-2.4565,0.0000
92,67,53,73,0.0000,0.0000,0.0000,0.0000
93,113,76,83,-0.4955,-0.4345,0.3695,0.0000
93,113,101,64,0.0000,0.0000,0.1500,0.0000
93,113,101,110,0.0000,0.0000,0.1500,0.0000
93,113,101,134,0.0000,0.0000,0.1500,0.0000
93,120,94,65,0.0000,3.0445,0.0000,0.0000
93,120,94,127,1.1500,3.0445,0.0000,0.0000
94,120,93,59,0.0000,0.0000,0.0000,0.0000
94,120,93,113,0.2595,0.4385,2.6165,0.0000
94,120,93,129,-0.2980,0.1395,-2.4565,0.0000
94,127,89,44,-1.1175,-0.2680,0.0000,0.0000
94,127,89,90,0.0000,0.0000,-0.0380,0.0000
94,127,89,119,0.0000,0.0000,-0.0380,0.0000
95,45,37,33,0.0000,0.2730,0.0000,0.0000
95,45,37,38,0.0000,0.2730,0.0000,0.0000
97,129,93,59,0.0000,0.0000,0.0000,0.0000
97,129,93,113,0.0000,0.0000,0.0000,0.0000
97,129,93,120,0.0000,0.0000,0.0000,0.0000
98,125,112,69,0.0000,3.9680,0.0000,0.0000
98,125,112,132,0.0000,1.9500,0.0000,0.0000
99,116,66,42,0.0000,0.0000,0.1500,0.0000
99,116,66,55,0.0000,0.0000,0.1500,0.0000
99,116,66,74,0.0000,0.0000,0.1500,0.0000
100,130,86,62,0.0000,0.0000,0.1500,0.0000
100,130,86,69,0.0000,0.0000,0.1500,0.0000
100,130,86,117,0.0000,0.0000,0.1500,0.0000
101,113,76,83,-0.1780,-0.0870,0.2460,0.0000
101,113,93,59,0.0000,0.0000,0.1500,0.0000
101,113,93,120,0.4225,-0.4810,0.3565,0.0000
