ID1,ID2,ID3,Kt,theta0
175,129,93,70.0000,2.0351
175,129,97,80.0000,2.1450
176,163,125,35.0000,2.0944
176,163,174,35.0000,2.0944
179,184,140,37.5000,1.9321
180,146,108,35.0000,1.9111
180,146,130,80.0000,1.9146
180,146,171,63.0000,1.9216
180,183,153,80.0000,2.1450
181,127,89,80.0000,1.9146
181,127,94,63.0000,1.9216
181,127,128,35.0000,1.9111
182,136,96,35.0000,2.0944
182,136,133,35.0000,2.0944
182,187,143,50.0000,2.1502
183,180,146,50.0000,2.1276
184,140,80,58.3500,1.9670
184,140,135,37.5000,1.9321
184,140,152,50.0000,1.9111
185,144,88,50.0000,2.1276
185,144,149,38.0000,2.0665
186,154,123,50.0000,2.1276
186,154,148,35.0000,2.0909
186,220,175,63.0000,1.9216
187,143,106,35.0000,1.9111
187,143,131,35.0000,1.9111
187,143,158,80.0000,1.9408
187,182,136,70.0000,2.0944
189,164,116,58.3500,1.9670
189,164,156,58.3500,1.9670
190,138,95,50.0000,2.1276
190,138,121,35.0000,2.0909
191,189,160,33.0000,1.8815
191,189,164,37.5000,1.9321
192,181,127,38.0000,2.0665
193,158,107,37.5000,1.9321
193,158,143,37.5000,1.9321
193,158,170,33.0000,1.8815
195,184,140,37.5000,1.9321
195,184,179,33.0000,1.8815
197,213,165,33.0000,1.8815
199,175,129,35.0000,2.0909
200,137,91,63.0000,1.9391
200,137,115,63.0000,1.9216
200,137,141,35.0000,1.9111
201,164,116,37.5000,1.9321
201,164,156,37.5000,1.9321
201,164,189,37.5000,1.9321
202,218,172,33.0000,1.8815
205,186,154,80.0000,2.1450
206,233,188,35.0000,1.9111
209,230,194,33.0000,1.8815
210,219,156,70.0000,2.0351
211,206,177,80.0000,2.1991
212,220,175,35.0000,1.9111
212,220,186,35.0000,1.9111
213,252,183,63.0000,1.9391
214,229,185,70.0000,2.0351
214,237,190,63.0000,1.9216
216,250,185,37.5000,1.9321
217,243,198,33.0000,1.8815
218,230,194,37.5000,1.9321
218,230,209,37.5000,1.9321
219,156,122,35.0000,1.9111
